"ID","Posttest_Time1","Posttest_Time2","Posttest_Time3","Intervention","Pretest","School"
1,101,87,91,1,99,1
2,119,109,115,1,95,1
3,94,79,83,0,82,1
4,100,83,89,0,94,1
5,69,73,78,1,69,2
6,78,69,72,1,74,2
7,85,86,87,0,78,2
8,91,110,116,0,85,2
9,105,106,111,1,77,3
10,112,90,97,1,69,3
11,109,112,117,0,76,3
12,69,88,91,0,69,3
13,87,100,105,1,93,4
14,94,90,93,1,96,4
15,92,69,77,0,90,4
16,78,81,86,0,78,4
17,85,92,96,1,79,5
18,69,93,97,1,69,5
19,76,69,74,0,85,5
20,75,108,111,0,94,5
21,100,77,78,1,88,6
22,95,131,132,1,75,6
23,100,96,108,0,76,6
24,100,111,115,0,97,6
25,91,77,82,1,76,7
26,117,86,92,1,88,7
27,91,69,76,0,95,7
28,95,75,77,0,92,7
29,81,107,110,1,86,8
30,78,93,95,1,81,8
31,77,91,96,0,103,8
32,69,90,93,0,69,8
33,69,92,96,0,70,9
34,93,75,76,0,77,9
35,103,131,134,1,101,9
36,102,94,98,1,81,9
37,69,90,97,1,69,10
38,69,112,119,1,70,10
39,89,95,99,0,80,10
40,93,121,127,0,77,10
41,110,97,101,0,86,11
42,98,81,85,0,92,11
43,104,69,71,1,97,11
44,102,104,111,1,81,11
45,110,69,75,1,102,12
46,104,91,100,1,100,12
47,94,84,91,0,83,12
48,101,84,87,0,94,12
49,78,69,75,0,101,13
50,69,69,77,0,69,13
51,69,75,85,1,121,13
52,69,77,81,1,93,13
53,69,83,92,1,69,14
54,69,83,91,0,69,14
55,69,92,99,0,69,14
56,91,77,81,0,93,15
57,108,113,117,0,93,15
58,96,69,75,1,90,15
59,112,82,90,1,90,15
60,93,91,100,0,87,16
61,92,84,90,0,81,16
62,94,69,77,1,74,16
63,96,75,80,1,94,16
64,96,100,104,1,93,17
65,90,69,73,1,97,17
66,84,100,104,0,90,17
67,86,90,95,0,87,17
68,99,96,101,0,84,18
69,87,95,98,0,69,18
70,95,69,72,1,75,18
71,100,109,116,1,76,18
72,90,83,86,1,97,19
73,121,86,92,1,86,19
74,69,78,82,0,78,19
75,78,105,115,0,89,19
76,98,87,94,1,87,20
77,131,78,84,1,130,20
78,108,97,101,0,90,20
79,108,101,108,1,109,21
80,96,87,92,1,100,21
81,96,83,90,0,85,21
82,92,69,76,0,101,21
83,75,98,103,0,69,22
84,101,88,93,0,94,22
85,104,87,94,1,84,22
86,109,111,115,0,69,23
87,87,97,100,0,69,23
88,107,97,107,1,69,23
89,77,75,79,0,71,24
90,90,69,75,0,77,24
91,96,88,92,1,79,24
92,87,100,103,1,69,24
93,88,69,73,1,69,25
94,92,131,132,1,79,25
95,87,75,79,0,79,25
96,85,93,99,0,69,25
97,81,69,75,1,80,26
98,69,91,93,1,77,26
99,77,72,74,0,76,26
100,78,72,77,0,69,26
101,69,99,104,0,78,27
102,91,86,92,0,85,27
103,85,93,103,1,90,27
104,86,96,101,1,69,27
105,81,109,115,0,87,28
106,94,99,103,0,89,28
107,87,75,78,1,69,28
108,110,77,79,1,77,29
109,72,69,72,1,69,29
110,87,78,80,0,79,29
111,77,77,80,0,69,29
112,78,98,103,1,69,30
113,82,98,103,1,80,30
114,90,87,90,0,93,30
115,69,103,107,0,86,30
116,83,83,90,1,79,31
117,69,92,99,1,73,31
118,83,85,89,0,85,31
119,85,85,86,0,69,31
120,86,97,100,0,69,32
121,69,85,92,0,74,32
122,72,110,114,1,69,33
123,69,106,112,1,70,33
124,69,69,73,0,69,33
125,85,108,112,0,72,33
126,111,104,113,1,103,34
127,112,91,97,1,101,34
128,88,69,73,0,89,34
129,111,69,76,0,118,34
130,75,78,81,1,71,35
131,84,82,88,1,74,35
132,97,90,92,0,73,35
133,83,112,114,0,69,35
134,93,69,76,1,82,36
135,81,94,100,1,92,36
136,106,82,84,0,102,36
137,90,86,92,0,82,36
138,97,87,89,1,102,37
139,100,91,97,1,104,37
140,94,85,89,0,103,37
141,88,100,104,0,78,37
142,107,94,99,1,78,38
143,96,107,115,1,69,38
144,77,113,121,0,73,38
145,95,69,73,0,80,38
146,103,81,85,0,107,39
147,91,111,118,0,99,39
148,84,78,85,1,84,39
149,75,76,81,1,72,39
150,123,76,81,1,98,40
151,91,76,81,1,89,40
152,110,96,102,0,93,40
153,78,87,94,1,79,41
154,84,82,85,0,78,41
155,77,111,116,0,69,41
156,76,108,116,1,84,42
157,88,69,71,1,78,42
158,79,93,105,0,69,42
159,95,103,106,0,90,43
160,88,82,84,0,77,43
161,94,92,97,1,76,43
162,96,69,77,1,84,44
163,91,90,96,1,69,44
164,77,81,85,1,77,44
165,80,98,103,1,78,44
166,113,91,98,0,98,44
167,89,83,90,0,76,44
168,88,110,119,0,81,44
169,97,84,89,0,98,44
170,106,84,91,1,107,45
171,76,86,97,1,79,45
172,82,83,90,0,83,45
173,97,72,81,0,91,45
174,86,88,91,0,78,46
175,89,85,88,0,76,46
176,86,69,73,1,69,46
177,75,84,91,1,74,46
178,72,99,108,1,69,47
179,82,81,86,1,69,47
180,69,91,94,0,69,47
181,69,97,103,0,69,47
182,70,87,89,0,71,48
183,97,78,83,0,78,48
184,86,111,117,1,90,48
185,88,93,94,1,73,48
186,82,84,88,0,69,49
187,69,100,105,0,72,49
188,102,80,89,1,69,49
189,84,77,82,1,69,49
190,92,82,88,0,82,50
191,105,88,92,0,93,50
192,108,91,96,1,85,50
193,109,76,82,1,96,50
194,99,97,102,1,83,51
195,101,88,95,0,88,51
196,90,81,87,0,84,51
197,98,95,98,1,78,52
198,98,101,105,1,93,52
199,91,80,83,0,100,52
200,82,69,77,0,85,52
201,83,91,97,1,85,53
202,106,90,97,1,93,53
203,87,78,86,0,88,53
204,83,95,99,0,92,53
205,93,97,103,0,90,54
206,81,110,113,0,85,54
207,73,89,94,0,69,54
208,88,78,85,1,78,54
209,80,69,76,1,70,54
210,84,117,122,1,69,54
